0.9703,0.9994,1.0000,1.0000,1.0000,1
0.9127,0.9948,0.9997,0.9999,1.0000,1
0.8574,0.9860,0.9988,0.9995,0.9999,1
0.8044,0.9733,0.9969,0.9987,0.9997,1
0.7536,0.9570,0.9937,0.9973,0.9993,1
0.7050,0.9376,0.9888,0.9951,0.9987,1
0.6585,0.9153,0.9821,0.9921,0.9978,1
0.6141,0.8905,0.9734,0.9880,0.9966,1
0.5718,0.8634,0.9625,0.9829,0.9951,1
0.5314,0.8344,0.9495,0.9765,0.9931,1
0.4930,0.8037,0.9341,0.9688,0.9907,1
0.4565,0.7715,0.9164,0.9597,0.9878,1
0.4219,0.7383,0.8965,0.9492,0.9844,1
0.3890,0.7041,0.8743,0.9372,0.9803,1
0.3579,0.6693,0.8499,0.9237,0.9756,1
0.3285,0.6340,0.8234,0.9085,0.9702,1
0.3008,0.5985,0.7950,0.8918,0.9641,1
0.2746,0.5630,0.7648,0.8735,0.9571,1
0.2500,0.5276,0.7330,0.8536,0.9493,1
0.2270,0.4925,0.6997,0.8321,0.9407,1
0.2054,0.4580,0.6651,0.8091,0.9311,1
0.1852,0.4241,0.6295,0.7845,0.9205,1
0.1664,0.3910,0.5931,0.7585,0.9089,1
0.1489,0.3588,0.5561,0.7311,0.8962,1
0.1327,0.3276,0.5187,0.7023,0.8824,1
0.1176,0.2977,0.4813,0.6724,0.8673,1
0.1038,0.2689,0.4439,0.6412,0.8511,1
0.0911,0.2415,0.4069,0.6090,0.8336,1
0.0795,0.2155,0.3705,0.5759,0.8148,1
0.0689,0.1909,0.3349,0.5420,0.7946,1
0.0593,0.1679,0.3003,0.5075,0.7730,1
0.0507,0.1464,0.2670,0.4724,0.7500,1
0.0429,0.1265,0.2352,0.4370,0.7254,1
0.0359,0.1082,0.2050,0.4015,0.6992,1
0.0298,0.0915,0.1766,0.3660,0.6715,1
0.0244,0.0763,0.1501,0.3307,0.6421,1
0.0197,0.0628,0.1257,0.2959,0.6110,1
0.0156,0.0508,0.1035,0.2617,0.5781,1
0.0122,0.0403,0.0836,0.2285,0.5435,1
0.0093,0.0312,0.0659,0.1963,0.5070,1
0.0069,0.0235,0.0505,0.1656,0.4686,1
0.0049,0.0171,0.0375,0.1366,0.4282,1
0.0034,0.0120,0.0266,0.1095,0.3859,1
0.0022,0.0079,0.0179,0.0847,0.3415,1
0.0013,0.0049,0.0112,0.0624,0.2950,1
0.0007,0.0027,0.0063,0.0430,0.2464,1
0.0003,0.0013,0.0031,0.0267,0.1956,1
0.0001,0.0005,0.0012,0.0140,0.1426,1
0.0000,0.0001,0.0003,0.0052,0.0873,1
0.0000,0.0000,0.0000,0.0006,0.0297,1
